Month,Commuter Rail,Bus,Trackless,Bus & TT,Heavy Rail,Light Rail,Boat,Private Bus,RIDE,Total Month,% Change Pr Yr by Mo,All Modes by Qtr,% Change Pr Yr by Q,CYTD,CYTD %,FYTD,FYTD %,Total  12 Months,12 Month Average,Change in 12 Month Average,Annual Change
Jan-07,3347.5,8275.5,284.2,8559.741207,10806.2,6096.8,90.8,107.6,129.8,29139,0.058690,,,29139,0.0586895,219034,0.1193895,362161,30180,0.0044802,0.0881833
Feb-07,2861.5,7640.2,273.0,7913.240249,10145.1,5935.8,77.9,91.1,117.9,27143,-0.024507,,,56281,0.0168650,246177,0.1014751,361479,30123,-0.0018828,0.0820112
Mar-07,3285.9,8881.8,312.3,9194.09762,11942.1,6819.0,97.3,108.3,141.1,31588,0.126003,87869,0.0535750,87869,0.0535750,277764,0.1042104,365013,30418,0.0097786,0.0939129
Apr-07,3178.0,8439.3,302.0,8741.330949,11535.4,6814.6,99.2,99.2,133.7,30601,0.053824,,,118470,0.0536392,308366,0.0989958,366576,30548,0.0042819,0.0955693
May-07,3287.0,9030.2,320.9,9351.028872,12279.0,6959.4,122.1,111.7,143.7,32254,0.077771,,,150724,0.0587119,340620,0.0969502,368904,30742,0.0063490,0.0938572
Jun-07,3257.0,8692.2,304.9,8997.083822,11873.3,6612.9,141.5,108.7,138.7,31129,0.100590,93985,0.0771979,181853,0.0656528,371749,0.0972540,371749,30979,0.0077123,0.0972540
Jul-07,3277.7,8872.4,303.1,9175.403252,11918.3,6689.5,170.5,89.9,136.3,31458,0.011924,,,213311,0.0573734,31458,0.0119236,372120,31010,0.0009971,0.0872366
Aug-07,3492.4,9448.2,325.2,9773.468487,12198.1,6660.2,177.2,97.5,143.8,32543,0.025744,,,245854,0.0530752,64000,0.0189042,372936,31078,0.0021949,0.0788208
Sep-07,3009.9,8796.3,304.5,9100.775505,11730.5,6945.1,128.3,90.2,136.6,31141,-0.008329,95142,0.0098270,276995,0.0457949,95142,0.0098270,372675,31056,-0.0007014,0.0738181
Oct-07,3546.6,9577.8,354.2,9931.993235,11856.5,6834.2,128.5,102.0,153.7,32554,-0.014232,,,309548,0.0391405,127695,0.0035829,372205,31017,-0.0012611,0.0612552
Nov-07,3290.2,8185.5,308.5,8494.000693,11747.3,6579.3,81.4,88.6,144.1,30425,-0.055825,,,339973,0.0298704,158120,-0.0084222,370406,30867,-0.0048331,0.0406834
Dec-07,3127.9,7387.9,276.5,7664.429924,10846.0,5978.7,63.7,79.0,129.5,27889,-0.083574,90868,-0.0502955,367862,0.0202949,186009,-0.0204660,367862,30655,-0.0068665,0.0202949
Jan-08,3342.9,8537.6,322.7,8860.272148,11718.0,6474.0,72.7,93.6,146.8,30708,0.053870,,,30708,0.0538701,216717,-0.0105769,369432,30786,0.0042671,0.0200784
Feb-08,3104.6,8438.1,314.6,8752.787818,11667.0,6460.6,67.9,88.3,139.1,30280,0.115599,,,60988,0.0836401,246998,0.0033348,372570,31047,0.0084932,0.0306827
Mar-08,3171.0,9060.4,332.0,9392.363423,12406.1,6894.6,76.1,95.4,154.3,32190,0.019061,93178,0.0604248,93178,0.0604248,279187,0.0051232,373172,31098,0.0016161,0.0223512
Apr-08,3317.3,9266.8,345.6,9612.339185,12923.6,7464.0,100.3,96.1,159.8,33673,0.100387,,,126852,0.0707472,312861,0.0145769,376244,31354,0.0082321,0.0263725
May-08,3293.9,9250.3,335.9,9586.262921,12866.1,7105.1,101.9,95.7,163.4,33212,0.029718,,,160064,0.0619671,346073,0.0160106,377202,31434,0.0025476,0.0224953
Jun-08,3233.0,9060.3,332.4,9392.746962,12788.0,7096.6,126.9,100.1,156.7,32894,0.056694,99780,0.0616624,192958,0.0610644,378967,0.0194173,378967,31581,0.0046787,0.0194173
Jul-08,3488.5,9578.6,341.9,9920.505334,13299.1,7543.9,159.1,105.3,160.4,34677,0.102335,,,227635,0.0671507,34677,0.1023347,382186,31849,0.0084947,0.0270529
Aug-08,3318.5,8452.6,292.1,8744.633603,12416.0,6348.0,153.6,99.6,157.0,31237,-0.040113,,,258872,0.0529527,65914,0.0299035,380881,31740,-0.0034155,0.0213033
Sep-08,3217.9,8811.9,313.9,9125.876428,13021.8,6665.3,108.3,109.2,165.8,32414,0.040870,98328,0.0334929,291286,0.0515942,98328,0.0334929,382154,31846,0.0033416,0.0254352
Oct-08,3718.0,9342.5,314.5,9657.016739,14016.0,6957.4,110.3,107.1,177.3,34743,0.067263,,,326029,0.0532420,133071,0.0421019,384343,32029,0.0057297,0.0326129
Nov-08,3202.1,8137.0,268.2,8405.184193,11701.1,5838.5,74.5,78.4,157.4,29457,-0.031805,,,355487,0.0456310,162529,0.0278810,383376,31948,-0.0025177,0.0350155
Dec-08,3313.7,8270.5,284.5,8555.034253,11585.5,5489.2,69.0,79.5,157.9,29250,0.048789,93450,0.0284223,384736,0.0458704,191778,0.0310159,384736,32061,0.0035493,0.0458704
Jan-09,3105.3,8261.9,279.8,8541.67606,11449.5,5581.5,65.6,78.3,154.6,29230,-0.048138,,,29230,-0.0481382,220755,0.0186303,383258,31938,-0.0038422,0.0374252
Feb-09,3126.0,8229.8,207.1,8436.921019,11270.7,5589.4,67.7,76.3,158.2,28807,-0.048659,,,58037,-0.0483967,249480,0.0100507,381785,31815,-0.0038444,0.0247337
Mar-09,3198.2,9120.6,282.0,9402.654012,12438.3,6118.2,81.1,63.5,173.9,31844,-0.010739,89881,-0.0353871,89881,-0.0353871,280956,0.0063346,381439,31787,-0.0009054,0.0221540
Apr-09,3198.3,9018.1,269.9,9287.974425,12789.6,6463.0,100.8,65.3,173.8,32463,-0.035951,,,122344,-0.0355369,313035,0.0005560,380229,31686,-0.0031738,0.0105906
May-09,3235.2,8792.5,278.4,9070.870502,12129.2,5997.2,101.6,62.7,172.2,30769,-0.073570,,,153113,-0.0434286,343804,-0.0065578,377785,31482,-0.0064263,0.0015448
Jun-09,3373.8,8877.5,297.2,9174.714651,12279.5,6051.9,117.8,67.3,175.0,31240,-0.050281,94472,-0.0531972,184353,-0.0445968,375044,-0.0103530,376131,31344,-0.0043780,-0.0074837
Jul-09,3448.0,9018.1,280.1,9298.201697,13006.6,6475.5,192.6,68.3,167.4,32657,-0.058255,,,217009,-0.0466774,32657,-0.0582546,374111,31176,-0.0053707,-0.0211294
Aug-09,3218.4,8463.2,279.7,8742.890026,11815.8,6277.6,151.1,61.3,164.2,30431,-0.025803,,,247441,-0.0441586,63088,-0.0428756,373305,31109,-0.0021545,-0.0198908
Sep-09,3197.8,9235.9,292.0,9527.872308,12425.0,6745.5,115.7,63.6,172.6,32248,-0.005121,95336,-0.0304298,279689,-0.0398145,95336,-0.0304298,373139,31095,-0.0004447,-0.0235894
Oct-09,3311.5,9706.1,315.9,10021.939124,13476.9,6360.8,102.6,61.1,180.0,33515,-0.035351,,,312116,-0.0426740,128851,-0.0317146,370824,30902,-0.0033011,-0.0351767
Nov-09,2858.3,8742.2,274.8,9016.98462,11810.1,5502.5,77.7,58.7,166.4,29491,0.001141,,,341607,-0.0390433,158342,-0.0257598,370857,30905,0.0000906,-0.0326538
Dec-09,2988.0,8443.2,277.9,8721.15292,11422.4,5189.8,70.8,56.7,171.0,28620,-0.021539,91626,-0.0195250,370227,-0.0377126,186962,-0.0251161,370227,30852,-0.0016988,-0.0377126
Jan-10,2894.9,8516.7,265.5,8782.154628,11225.7,5253.6,67.1,58.3,165.2,28447,-0.018278,,,28447,-0.0182781,215409,-0.0242185,369697,30808,-0.0014306,-0.0347445
Feb-10,2745.6,8235.8,269.2,8504.961356,11233.7,5264.1,67.8,53.0,159.2,28028,-0.024261,,,56475,-0.0212566,243437,-0.0242234,369001,30750,-0.0018851,-0.0326366
Mar-10,3233.4,9831.8,315.8,10147.61047,13108.8,5913.4,88.2,64.4,188.4,32744,0.040294,89219,0.0004682,89219,0.0004682,276181,-0.0169955,370269,30856,0.0034371,-0.0274914
Apr-10,3122.4,9496.4,307.0,9803.33623,13066.2,6198.5,110.1,62.1,184.6,32547,0.014603,,,121767,0.0042076,308728,-0.0137574,370737,30895,0.0012651,-0.0221657
May-10,2854.2,9317.7,285.8,9603.476562,12552.4,5786.4,112.2,62.0,185.1,31156,0.012568,,,152922,0.0058997,339884,-0.0114013,371124,30927,0.0010431,-0.0147964
Jun-10,3057.7,9227.2,274.5,9501.703186,12754.1,5786.0,134.8,64.7,192.0,31491,0.008037,95194,0.0117573,184413,0.0062640,371375,-0.0097822,371375,30948,0.0006765,-0.0097822
