Month,Bus Wkdy Eq,LR Wkdy Eq,HR Wkdy Eq,Commuter Rail,Bus,Trackless,,Heavy Rail,Light Rail,Boat,Private Bus,RIDE,Total All Modes,% Chg Pr Yr by Mo,All Modes by Qtr,% Chg Pr Yr by Q,CYTD,CYTD %,FYTD,FYTD %,12 Months,12 Month Average,Change in 12 Month Average,Annual Change
Jan-07,24.8,27.3,24.1,142.2,335.8,12.8,348.6,435.3,227.2,4.0,4.8,4.9,1167,0.0198014,,,1167,0.0198014,1271,0.1146918,14801,1231,0.0012672,0.0848545
Feb-07,22.5,24.8,21.8,138.5,338.7,12.9,351.6,448.3,240.3,3.6,4.4,5.0,1192,-0.0397019,,,1179,-0.0106448,1262,0.0956088,14752,1227,-0.0030301,0.0776474
Mar-07,25.5,27.8,24.8,137.7,339.9,13.1,352.9,458.6,241.4,4.0,4.6,5.5,1205,0.1142684,1188,0.0322978,1188,0.0322978,1256,0.0981975,14875,1239,0.0094463,0.0893159
Apr-07,23.8,26.3,23.1,139.5,352.2,13.4,365.6,472.2,255.6,4.3,4.5,5.4,1247,-0.0017863,,,1202,0.0244128,1255,0.0882592,14873,1238,-0.0001095,0.0839007
May-07,25.3,27.5,24.7,139.0,354.4,13.5,367.8,474.6,248.3,4.9,4.8,5.4,1245,0.0489289,,,1211,0.0296948,1254,0.0843910,14931,1244,0.0041257,0.0823731
Jun-07,24.5,26.8,23.8,143.0,350.5,13.3,363.9,477.0,246.1,5.8,4.7,5.6,1246,0.0960228,1246,0.0485961,1217,0.0408462,1253,0.0854108,15040,1253,0.0077483,0.0854108
Jul-07,24.6,27.0,23.9,142.4,357.5,13.3,370.8,471.7,243.3,6.5,3.9,5.3,1244,-0.0368384,,,1221,0.0293361,1244,-0.0368384,14993,1249,-0.0030667,0.0716757
Aug-07,26.0,28.0,25.4,142.4,355.5,13.1,368.6,461.6,234.9,6.6,3.9,5.3,1223,0.0043218,,,1221,0.0258328,1233,-0.0152230,14998,1250,0.0003876,0.0614064
Sep-07,23.1,25.7,22.3,143.1,372.6,14.4,387.0,499.6,265.7,5.5,4.3,5.6,1311,-0.0069313,1257,-0.0134622,1231,0.0216586,1257,-0.0134622,14989,1249,-0.0007836,0.0549179
Oct-07,25.5,27.8,24.8,146.5,368.8,14.6,383.5,457.7,241.4,5.1,4.3,5.8,1244,-0.0635464,,,1232,0.0123645,1253,-0.0264688,14904,1242,-0.0056941,0.0400901
Nov-07,24.3,26.5,23.7,145.1,330.8,13.6,344.5,488.3,250.5,3.8,4.1,5.7,1242,-0.0772243,,,1233,0.0034049,1251,-0.0369676,14800,1233,-0.0070304,0.0160967
Dec-07,24.1,26.7,23.3,141.6,312.9,12.4,325.3,448.3,233.4,3.0,3.7,5.1,1160,-0.0603086,1217,-0.0669972,1227,-0.0017154,1237,-0.0404560,14726,1227,-0.0048315,-0.0017154
Jan-08,23.8,27.0,22.9,142.1,340.3,13.9,354.2,472.6,241.2,3.2,4.1,5.5,1223,0.0480523,,,1223,0.0480523,1235,-0.0287599,14782,1232,0.0038387,0.0008484
Feb-08,24.8,28.0,23.9,142.6,352.9,14.2,367.1,492.1,249.3,3.1,4.1,5.7,1264,0.0607099,,,1243,0.0545753,1238,-0.0189263,14854,1237,0.0045499,0.0084579
Mar-08,24.8,28.0,23.9,137.5,361.2,14.4,375.5,494.0,253.1,3.5,4.2,6.2,1274,0.0575280,1254,0.0554615,1254,0.0554615,1242,-0.0106788,14924,1243,0.0046860,0.0037023
Apr-08,25.8,29.0,24.9,140.4,368.2,14.7,382.9,513.2,271.1,4.2,4.1,6.3,1322,0.0601714,,,1271,0.0570158,1250,-0.0036267,14999,1249,0.0050425,0.0088740
May-08,,,,142.6,363.9,14.4,378.3,508.0,258.4,4.0,4.1,6.3,1302,0.0456608,,,1277,0.0542279,1255,0.0008823,15056,1254,0.0038208,0.0085676
Jun-08,,,,142.1,363.0,14.5,377.5,518.3,267.0,5.2,4.4,6.3,1321,0.0598647,1315,0.0552687,1284,0.0551565,1260,0.0057933,15130,1260,0.0049762,0.0057933
Jul-08,,,,145.7,370.9,14.4,385.3,512.3,270.2,6.0,4.5,6.0,1330,0.0692560,,,1291,0.0574175,1330,0.0692560,15216,1268,0.0059149,0.0148547
Aug-08,,,,144.6,361.1,13.7,374.8,477.0,239.3,5.8,4.3,6.1,1252,0.0233642,,,1286,0.0531317,1292,0.0476371,15245,1271,0.0021750,0.0166680
Sep-08,,,,141.9,389.5,15.1,404.6,517.3,258.2,4.6,4.9,6.5,1338,0.0207905,1307,0.0401650,1292,0.0500307,1307,0.0401650,15272,1273,0.0020375,0.0195383
Oct-08,,,,152.0,358.0,13.0,371.0,523.6,250.1,4.3,4.6,6.7,1312,0.0544169,,,1294,0.0504808,1308,0.0438149,15340,1279,0.0046431,0.0301378
Nov-08,,,,153.0,345.4,12.6,358.0,487.1,232.1,3.5,4.3,6.4,1244,0.0019799,,,1290,0.0463715,1297,0.0364660,15342,1280,0.0003793,0.0378250
Dec-08,,,,140.8,325.8,11.9,337.7,446.7,205.4,3.0,3.4,6.0,1143,-0.0148954,1233,0.0129546,1277,0.0408619,1270,0.0270148,15325,1277,-0.0019194,0.0408619
Jan-09,,,,141.4,338.5,12.3,350.8,461.0,215.7,3.0,3.6,6.0,1182,-0.0339447,,,1182,-0.0339447,1258,0.0188772,15284,1274,-0.0024211,0.0343714
Feb-09,,,,143.5,360.4,9.6,370.1,482.4,228.7,3.2,3.6,6.7,1238,-0.0203674,,,1209,-0.0272384,1256,0.0141646,15258,1272,-0.0015037,0.0281380
Mar-09,,,,142.9,353.7,11.7,365.4,467.2,222.8,3.3,2.6,6.7,1211,-0.0495426,1210,-0.0348860,1210,-0.0348860,1251,0.0066742,15195,1267,-0.0043429,0.0188983
Apr-09,,,,142.3,359.4,11.3,370.7,493.2,238.2,4.0,2.8,6.7,1258,-0.0484882,,,1222,-0.0383492,1251,0.0008130,15131,1261,-0.0042344,0.0094935
